,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
count,301,301.0,301.0,301.0,301.0,301,301,301,301.0
unique,98,,,,,3,2,2,
top,city,,,,,Petrol,Dealer,Manual,
freq,26,,,,,239,195,261,
mean,,2013.6279069767443,4.661295681063123,7.628471760797343,36947.20598006644,,,,0.04318936877076412
std,,2.891554127336687,5.082811556177803,8.644115402015787,38886.88388206788,,,,0.2479148926949197
min,,2003.0,0.1,0.32,500.0,,,,0.0
25%,,2012.0,0.9,1.2,15000.0,,,,0.0
50%,,2014.0,3.6,6.4,32000.0,,,,0.0
75%,,2016.0,6.0,9.9,48767.0,,,,0.0
max,,2018.0,35.0,92.6,500000.0,,,,3.0
